# k    mu    diag_Cov_Pwnw
0.0842400 0.4864000 20163.2760000
0.0842400 0.7566000 33357.9870000
0.0843500 0.8636000 45974.2330000
0.0843800 0.5936000 41714.9000000
0.0844100 0.3776000 36526.6920000
0.0844100 0.6473000 35448.3490000
0.0845100 0.5388000 57600.5740000
0.0845700 0.2692000 107283.3800000
0.0847700 0.8056000 198790.4600000
0.0848100 0.6979000 104456.9300000
0.0850600 0.1606000 71714.9740000
0.0850600 0.6423000 57172.4510000
0.0851200 0.3209000 65187.2410000
0.0851800 0.4811000 137745.7200000
0.0851800 0.5345000 80154.9170000
0.0851800 0.8018000 69400.9070000
0.0853900 0.6932000 61956.6260000
0.0855000 0.7455000 69135.5840000
0.0855100 0.9052000 80390.5100000
0.0855400 0.5855000 43978.7120000
0.0855800 0.8512000 129806.3500000
0.0857100 0.3719000 43472.1000000
0.0857400 0.7966000 51839.3430000
0.0857800 0.2123000 23003.5900000
0.0858600 0.9545000 94228.8710000
